trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.2, 'e': 0.12996716477685788}",30,11,15.839829839831474,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.12736782148132073}",35,19,21.12228996612548,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.12482046505169431}",20,11,-35.22210288404382,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.2, 'e': 0.12232405575066042}",25,12,-13.385686991127747,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.11987757463564722}",25,3,33.06867065143934,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.11748002314293426}",25,11,24.39749272028006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.11513042268007558}",25,7,-26.666325656368254,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.2, 'e': 0.11282781422647406}",25,11,17.44449777139876,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.11057125794194458}",25,17,16.673245426454596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.10835983278310568}",20,8,17.689153008690866,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.10619263612744358}",20,7,21.91970315294856,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.1040687834048947}",20,11,4.730338627320225,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.1019874077367968}",30,16,2.6860864783553193,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.09994765958206087}",20,9,16.028700094701257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.09794870639041964}",20,7,10.41048378668162,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.09598973226261125}",20,14,10.880644922962995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.09406993761735902}",30,15,19.503527956529386,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.2, 'e': 0.09218853886501184}",25,15,15.159097314755751,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.09034476808771161}",20,13,10.922938600759892,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.08853787272595737}",25,13,11.008989981208945,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.08676711527143822}",20,7,14.008549493087664,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.08503177296600946}",20,6,25.042080824205684,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.08333113750668926}",35,0,37.77585773036669,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.08166451475655548}",35,20,30.038545227470458,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.08003122446142437}",30,13,25.36581999208407,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.07843059997219588}",20,11,3.601297130994321,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.07686198797275196}",20,0,26.07519231522982,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.2, 'e': 0.07532474821329692}",20,5,26.827302017544557,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.07381825324903098}",20,12,13.390503800826801,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.07234188818405035}",25,8,32.32373082409366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.07089505042036935}",30,17,23.932056947811436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.06947714941196197}",30,21,16.792736125154224,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.06808760642372272}",20,7,13.217980881846252,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.06672585429524826}",20,7,9.397539409165491,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.0653913372093433}",30,14,-0.3349736646238579,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.06408351046515644}",35,27,15.015433390835033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.0628018402558533}",30,19,17.507272428782947,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.061545803450736236}",30,14,17.100452612032118,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.060314887381721506}",20,13,-28.843758166537306,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.2, 'e': 0.05910858963408708}",30,11,29.263744604568263,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.057926417841405335}",35,13,25.33721502192551,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.05676788948457723}",25,12,14.54084205010507,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.05563253169488568}",20,10,15.597149420436473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.2, 'e': 0.054519881060987964}",20,9,20.37464839380142,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.05342948343976821}",20,6,7.73754737605683,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.05236089377097284}",30,14,22.709754432866298,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.051313675895553384}",20,13,12.607861182499997,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.050287402377642315}",35,21,26.598565592592312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.04928165433008947}",25,3,32.05406841836993,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.048296021243487676}",25,18,10.087230393705298,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.04733010081861792}",25,9,10.31801982877824,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.046383498802245564}",20,5,29.55200361115967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.04545582882620065}",30,12,30.24965452129809,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.044546712249676636}",30,14,21.75419835988099,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.04365577800468311}",20,7,15.700095406774688,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.04278266244458944}",20,14,11.461365858631233,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.041927009195697654}",20,12,12.406194873736172,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.041088469011783695}",20,6,25.876915900475794,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.040266699631548025}",25,15,18.786661334911535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.03946136563891706}",20,16,7.849300072037327,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.03867213832613872}",25,16,17.70239252272789,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.03789869555961595}",25,13,23.39655463946526,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.03714072164842362}",30,17,24.754940981642257,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.036397907215455154}",25,18,1.7873323949287856,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.03566994907114605}",35,13,38.39887137297975,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.03495655008972313}",20,5,24.196441866625243,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.03425741908792866}",20,9,19.989985637447294,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.03357227070617009}",30,15,21.684307377822044,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.03290082529204669}",20,9,16.233935430889566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.03224280878620575}",25,12,24.922018681275603,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.031597952610481636}",25,15,19.74389059471642,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.030965993558272006}",20,8,21.40771249428991,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.030346673687106564}",25,13,19.100512464698426,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.02973974021336443}",20,6,28.822084728736964,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.029144945409097144}",25,10,23.832997281374308,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.0285620465009152}",25,15,18.327801605762776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.027990805570896896}",20,8,21.7450539085788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.027430989459478958}",30,18,22.758597793707505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.026882369670289376}",30,17,23.414117787076957,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.02634472227688359}",30,21,16.4023736432608,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.025817827831345917}",35,24,18.689736984239588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.025301471274718997}",30,13,27.625630414042412,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.2, 'e': 0.024795441849224616}",25,3,36.092157604691735,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.024299533012240124}",20,13,12.353013059085711,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.2, 'e': 0.023813542351995322}",25,8,30.38042278406234,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.023337271504955414}",20,11,16.429444955488275,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.2, 'e': 0.022870526074856307}",20,11,15.735609682824606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.02241311555335918}",25,8,32.349031842901226,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.2, 'e': 0.021964853242291995}",20,14,11.283660351958984,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.021525556177446156}",20,16,8.929926296058088,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.2, 'e': 0.02109504505389723}",20,13,14.089465634676635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.2, 'e': 0.020673144152819286}",25,18,11.171525281094686,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.2, 'e': 0.0202596812697629}",30,16,25.09468696861603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.2, 'e': 0.019854487644367643}",30,10,33.14145520793622,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.2, 'e': 0.01945739789148029}",25,14,20.029078498396455,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.2, 'e': 0.019068249933650683}",30,10,38.17002318767281,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.2, 'e': 0.01868688493497767}",20,8,20.074682180129823,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.2, 'e': 0.018313147236278113}",25,16,13.79015366633837,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.2, 'e': 0.017946884291552553}",20,7,18.27284809117224,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.2, 'e': 0.0175879466057215}",25,1,25.40486956119722,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.2, 'e': 0.01723618767360707}",25,8,27.641856932855696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
